Tweet,Username,Datetime
"sama banget non, kaya aku nih ya, aku tu paling ga suka sama orang yang kaya gini, soalnya dulu aku pernah punya pengalaman ga enak soal ini. aku tu kan orangnya sebenerernya pendengar yang baik ya, manusia keren, paling asik, dunia ini ga ada yang sehebat aku pokoknya aku hebat.",commaditya,2022-02-18 13:34:42+00:00
@penitimerah (((((sesempurna aku))))) sempurna tololnya,lilbunneuphoria,2021-07-01 05:40:08+00:00
aaaaaa kalau lah aku hebat buat kerja qs macam hebatnya aku main flow chart ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­. takpun sehebat aku main superstar ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­,athituyan,2021-06-28 16:44:18+00:00
"Aku gendut dan aku hebat.

Blm tentu orang lain bisa sehebat aku kalo di kasih gendut sama allah. Heuheu",cicicutwittt,2020-07-13 11:36:35+00:00
"@intanorii Aku hebat,aku jago,aku bisa ,orang lain mah gk sehebat aku ,karena tiap orang beda2",GhinaRamadhan7,2020-03-15 03:40:22+00:00
"To @SMxFamily 

Aku ....
Aku ganteng sekali
Aku seksi sekali
Aku tampan sekali
Aku manis sekali 
Aku Wangi sekali
Tiada manusia yg sesempurna aku
Oh aku, memang pantas jika semua orang mengagumimu 
Mwah mwah",sarungchan,2020-01-27 10:32:39+00:00
"Aku hebat, aku kuat. Orang lain kalau di posisiku ga akan sehebat aku!",IsmayawatiLiony,2019-08-28 16:13:16+00:00
"Aku bangga dengan diri aku sendiri. Orang lain kalo jadi Aku, belum tentu bisa sehebat Aku. Aku hebat.",Kanipra,2019-07-22 04:43:06+00:00
